,900
0,3.2000645765416587
1,3.0155416593933886
2,2.7275778290235424
3,3.005179616614616
4,3.877595207542787
5,3.408996117679218
6,3.0120196109392596
7,2.6548008383421413
8,3.5393854253909938
9,3.7926078105874192
10,2.3610488737128015
11,3.26029985403603
12,3.5401041370578175
13,2.457374364087372
14,3.7919204076964683
15,4.0262353181730095
16,3.335396502231737
17,2.4797829047019344
18,2.5354891509577997
19,3.6229576998554256
20,3.3476367855226052
21,2.855017499701828
22,3.178409128545509
23,3.650147328507511
24,3.527422182448754
25,2.9318642858293056
26,4.053366349425254
27,4.060379228944486
28,3.646050409110574
29,3.1112244556149746
30,3.944815073479393
31,2.9968079327748147
32,3.890648159810278
33,3.31167208435219
34,3.9566646453980154
35,3.496886416990712
36,2.818831141258804
37,3.6223864554268865
38,3.930251280068771
39,3.9564051724267877
40,2.867131752382664
41,3.4437346490551746
42,2.7864587948715496
43,3.423345853250855
44,3.106404500484135
45,4.1053454442032
46,2.9752467011313617
47,3.737723279819943
48,4.515771037571046
49,3.638725279783213
50,4.746790871715418
51,2.5583876050077534
52,3.06420387228028
53,1.997122407539369
54,3.401619608847864
55,4.092085441385693
56,2.746988492141036
57,3.211339509807797
58,2.9974368021436977
59,3.6954949192550974
60,2.8537559802013552
61,2.2636431585927457
62,2.061515701555686
63,1.668402149705247
64,3.2468051671815985
65,3.44723097528711
66,3.653424660421687
67,3.155714501867935
68,2.102381704913695
69,3.631925711129561
70,3.8148562494105356
71,2.972844551072364
72,1.913797170798706
73,2.852120351462436
74,3.761649007834405
75,3.2574618633435493
76,2.6032375293138865
77,3.823950835918995
78,3.1608878777363993
79,3.8738257064379913
80,3.69393571715337
81,3.0924702492806824
82,3.400067793249158
83,3.392064791910509
84,2.208466611075312
85,2.9409790549805415
86,3.072299270117819
87,3.6634969132831543
88,2.3389782097486562
89,2.23387271612953
90,3.723069148015556
91,2.875190619958577
92,3.9199627724706643
93,3.747256295137607
94,1.996822851031079
95,3.4571193841567496
96,3.060255246943468
97,3.867446159859264
98,1.8146037612571901
99,3.209302780612874
100,3.525326237179816
101,3.231229592673127
102,3.5803548817348694
103,3.1467962612956932
104,2.854102318608237
105,4.23426109485915
106,4.182766194364525
107,3.4424400591369873
108,2.978349637449535
109,3.087755539088352
110,4.0945927851912804
111,3.6300791886088333
112,3.071138318068455
113,2.458674321921441
114,2.6634534617598544
115,4.050945000420512
116,2.766229680385779
117,3.867221472273956
118,3.211298912746912
119,3.8314520506783185
120,1.988371891206358
121,0.9967819371548693
122,4.330140802623879
123,3.304530689230103
124,3.996807312525609
125,3.059440657758388
126,2.4924224981691068
127,0.9967819371548693
128,3.996781937154869
129,2.8101135300304327
130,3.2469882768793132
131,2.9970016553417222
132,2.496893118480386
133,3.996781937154869
134,3.1633775049552515
135,3.5484734384530094
136,0.9967819371548693
137,3.3910551744976467
138,3.2940712760398556
139,2.8860925407177676
140,3.5393179110281405
141,2.7797441700839376
142,3.7842935604634347
143,4.072286155693057
144,3.587084346895367
145,2.997594081629289
146,2.641387499110921
147,3.7238749246526752
148,3.4112360864043785
149,3.5580025252518586
150,2.731169178725425
151,2.9790257283898454
152,3.282044269123368
153,2.2381384922454313
154,3.7222939778084703
155,4.061656119692388
156,3.456071661257538
157,3.565464603080097
158,3.5601564099519147
159,2.4570069208204997
160,3.596841057555741
161,2.949046288773614
162,2.015970634483492
163,3.1450792403971155
164,3.5674357314214977
165,2.5754527798550098
166,2.307702883877161
167,2.306716699179494
168,3.4756462912334776
169,3.91481041566487
170,2.732062798923989
171,3.4705644839431136
172,2.205863497420502
173,3.5463384638991333
174,1.6112670114005696
175,3.1402620180193264
176,3.4797539592615574
177,3.3432231514595467
178,2.8688453856200016
179,2.7613577028877874
180,3.2359826704065724
181,3.21931425929381
182,3.396933585238947
183,3.7476116094320906
184,2.4644687174903823
185,2.9968081492159846
186,2.0495624702934743
187,3.7537660888858078
188,2.839428626485377
189,2.8225913457614236
190,3.055825197234272
191,3.294772064586192
192,3.8096090915121392
193,2.4136920077703867
194,2.6337644822621167
195,2.497384831166113
196,3.0525655641302074
197,2.919481223228832
198,3.6092872001945056
199,3.6680680997165434
200,3.130719175625093
201,2.6305588206835697
202,2.4591869443840455
203,3.143461196783449
204,3.5558052727664573
205,1.9256104011765174
206,4.054396438596726
207,4.246925701279353
208,3.8040533145143027
209,3.181835995953336
210,2.622669431817482
211,3.126274535213591
212,3.1788428952446397
213,1.81896183134423
214,3.545124507079888
215,3.9459999671468484
216,3.389607967572404
217,3.1713624124904207
218,1.9967819371548694
219,2.672392756963543
220,2.1509311330160448
221,3.497650582790399
222,3.45102255894612
223,3.1916418247084195
